"Name","Runtime","perception_loss","predict_only","use_prior","prune","N","nrm_loss","percept_loss","train_accuracy","test_accuracy","test_accuracy_prior","test_digit_accuracy","test_explain_accuracy","test_time","train_accuracy_prior","train_digit_accuracy","train_explain_accuracy","epoch_time"
"restful-sweep-8","12620","log-q","false","","true","15","56.16908804575602","3.0764232079188027","0.7864583333333334","0.6037087923004514","0.7554945065861657","0.9898962520417712","0.9815400413104466","13.414647579193115","0.96875","0.9989583442608516","0.990972270568212","113.28934621810912"
"dainty-sweep-6","13630","log-q","false","","true","15","55.78640333811442","3.119762857755026","0.7708333333333334","0.6407967039516994","0.775412088348752","0.9901099290166584","0.98284497715178","13.330034494400024","0.9583333333333334","0.9980902920166652","0.990972270568212","123.45438265800476"
"wandering-sweep-4","7248","log-q","true","","false","15","20.422697067260746","2.631683647632599","0.6770833333333334","0.5517399282682509","0.7657967039516994","0.9902854618572052","0","7.903668403625488","0.953125","0.9977430750926336","0","64.5085141658783"
"Test log-q loss","13638","log-q","","","true","15","56.12167263031006","3.161285857359568","0.7760416666666666","0.6016483519758496","0.7710622719355992","0.9902167774382092","0.9809753241993132","13.294238805770874","0.9427083333333334","0.9980902969837188","0.990798662106196","124.00936722755432"
"silver-sweep-4","12826","log-q","","","true","15","60.94107214609782","3.716941356658935","0.7083333333333334","0.5345695983795893","0.7598443229993185","0.9899115278607324","0.9762515737896874","14.636736631393433","0.9479166666666666","0.9979166885217032","0.9862847775220872","122.18017148971558"
"rosy-sweep-4","7369","log-q","true","false","false","15","17.2320073445638","16.178680817286175","0","0","0","0.7625381946563721","0","7.987694263458252","0","0.7605903247992197","0","65.47312521934509"
"eager-sweep-27","11515","log-q","false","","false","15","586.6918741861979","2.645188550154368","0.7708333333333334","0.6037087923004514","0.7829670338403611","0.990880705061413","0.9519689139865694","12.731274127960203","0.9791666666666666","0.9993055661519368","0.959548662106196","102.1444890499115"
"radiant-sweep-7","7172","log-q","true","false","false","15","35.043291091918945","35.06803639729818","0","0","0","0.098382178516615","0","8.051692724227905","0","0.09878472797572611","0","63.81030082702637"
"leafy-sweep-1","7205","log-q","true","","false","15","20.139753341674805","2.756725311279297","0.6979166666666666","0.5872252753802708","0.7843406597773234","0.9908272737548464","0","7.845955848693848","0.9322916666666666","0.99722225467364","0","64.24368810653687"
"fast-sweep-5","12831","log-q","","","true","15","54.41742134094238","3.161476751168569","0.765625","0.5748626376901355","0.7316849827766418","0.9885760659263249","0.9801282570475623","14.7368643283844","0.9479166666666666","0.9975694666306176","0.9894097795089086","120.1746838092804"
"driven-sweep-4","12604","log-q","false","","true","15","56.1199639638265","3.042724311351776","0.71875","0.5970695983795893","0.7584706970623561","0.9906593901770456","0.9818376586550758","13.31040382385254","0.9791666666666666","0.9986111223697662","0.9876736750205358","112.7742314338684"
"peach-sweep-5","7191","log-q","true","false","false","15","28.661287943522137","30.161471207936604","0","0","0","0.308852276631764","0","7.874132394790649","0","0.31909723828236264","0","64.43471002578735"
"worthy-sweep-29","11565","log-q","false","","false","15","58.213841120402016","3.121341347694397","0.8020833333333334","0.6536172174272084","0.7918956052689325","0.990857794171288","0.9839438881192888","12.798333883285522","0.9635416666666666","0.998437518874804","0.9925347765286764","102.97438883781432"
"lucky-sweep-8","7344","log-q","true","false","false","15","18.20499626795451","18.10150909423828","0","0","0.002976190476190476","0.7622634711719695","0","7.992373704910278","0","0.7642361571391424","0","64.61692595481873"
